sample	phased_count	ground_truth_count	switch_error_rate_ALL_intersec	switch_error_rate_Largest_intersec
2938_J-Garcia	46540	46540	28.12	22.22
AZ-ALT-2021-006	52476	52476	10.03	10.53
AZ-ALT-2021-007	56307	56307	9.31	8.77
AZ-ALT-2021-008	54409	54409	10.64	20.31
AZ-ALT-2021-009	48168	48168	9.82	16.39
AZ-ALT-2021-010	53346	53346	9.30	3.33
AZ-ALT-2021-011	52112	52112	9.64	8.51
AZ-ALT-2021-012	52408	52408	8.95	7.81
AZ-ALT-2021-013	53281	53281	9.28	11.59
AZ-QKH-2021-001	54892	54892	9.91	13.43
AZ-QKH-2021-002	54529	54529	8.87	9.38
AZ-QKH-2021-003	53312	53312	10.43	14.08
AZ-QKH-2021-004	57067	57067	9.50	0.00
AZ-QKH-2021-005	57427	57427	9.65	15.52
AZ-QOB-2021-015	56126	56126	10.13	18.18
AZ-QOB-2021-016	54556	54556	9.16	1.52
BA-TRE-2019-001	53919	53919	14.17	10.47
BA-TRE-2019-002	46412	46412	14.76	22.64
BA-TRE-2019-007	53840	53840	14.61	18.42
BA-TRE-2019-008	53784	53784	14.32	7.32
BA-TRE-2019-009	54580	54580	15.19	8.08
BA-TRE-2019-010	52092	52092	14.84	19.05
BU-BAL-2021-001	47865	47865	1.01	20.83
BU-BAL-2021-002	52667	52667	1.76	29.31
BU-BAL-2021-003	45940	45940	0.73	12.50
BU-BAL-2021-004	46797	46797	1.06	9.68
BU-DEV-2019-022	57147	57147	7.53	2.17
BU-DEV-2019-023	41563	41563	1.86	0.00
BU-KAL-2019-001	45393	45393	1.76	0.00
BU-KAL-2019-002	41387	41387	1.32	0.00
BU-KAL-2019-003	50487	50487	0.98	14.49
BU-KAL-2019-004	43852	43852	0.59	9.62
BU-KAL-2019-005	50392	50392	1.88	11.76
BU-KAL-2019-006	46697	46697	1.42	3.43
BU-KAL-2019-007	49482	49482	0.86	13.85
BU-KAL-2019-008	47023	47023	0.71	16.39
BU-KAL-2019-009	45874	45874	0.59	15.22
BU-KAL-2019-010	43144	43144	0.73	3.60
BU-KAL-2019-011	42587	42587	1.30	0.00
BU-KAL-2019-012	45590	45590	0.79	23.53
BU-KAL-2019-013	41518	41518	0.73	0.00
BU-KAL-2019-014	46627	46627	1.53	21.69
BU-KAL-2019-015	41831	41831	1.62	16.88
BU-KAL-2019-016	46207	46207	0.63	0.71
BU-KAL-2019-017	46814	46814	0.49	3.37
BU-KAL-2019-018	50854	50854	1.48	20.29
BU-KAL-2019-019	45288	45288	0.69	14.81
BU-KAL-2019-020	46464	46464	0.81	16.92
BU-KAL-2019-021	33186	33186	3.23	30.61
BU-KRO-2019-024	55267	55267	14.44	18.64
BU-KRO-2019-025	55992	55992	13.99	18.60
BU-KRO-2019-026	54810	54810	14.41	5.26
BU-KRO-2019-027	47785	47785	14.31	24.32
BU-MAD-2019-028	57074	57074	14.36	13.64
BU-MAD-2019-029	50082	50082	14.65	18.92
BU-MRA-2021-001	58095	58095	4.42	13.33
CN-GAN-2009-001	35954	35954	14.43	25.45
CN-GAN-2009-002	41155	41155	15.12	27.94
CN-GAN-2009-003	29700	29700	18.36	4.55
CN-XIN-2002-002	41164	41164	16.31	16.67
CN-XIN-2002-003	32510	32510	19.79	21.15
CN-XIN-2002-004	36129	36129	19.41	21.13
CN-XS-2018-001	42342	42342	16.92	11.27
CN-XS-2018-002	47096	47096	13.71	0.00
CN-XS-2018-004	45919	45919	14.16	3.68
CN-XS-2018-006	45142	45142	16.31	15.62
CN-XS-2018-007	48425	48425	15.04	6.67
CN-XS-2018-009	48312	48312	15.12	9.46
CN-XS-2018-010	45768	45768	15.56	14.29
CN-XS-2018-012	45687	45687	14.34	0.00
CN-XS-2018-014	47835	47835	15.08	8.57
CY-PAF-2017-003	25209	25209	11.99	16.44
CY-PAF-2018-004	28970	28970	12.39	9.52
CY-PRO-2016-001	26659	26659	12.05	0.82
CY-PRO-2016-002	28483	28483	12.73	0.00
E-BIO-2017-001	50702	50702	26.07	19.18
E-GUI-2017-001	47977	47977	26.45	35.29
E-GUI-2017-003	52491	52491	28.24	35.00
E-GUI-2017-007	47509	47509	28.69	22.58
E-GUI-2017-013	51299	51299	28.63	30.77
E-GUI-2017-015	49122	49122	28.37	35.29
E-GUI-2017-018	49043	49043	29.14	25.37
E-Oenhishis_black	55388	55388	28.25	28.57
E-Oenhishis_white	54936	54936	28.89	25.64
FR-EYG-2019-001	49886	49886	28.56	42.50
FR-MAU-2019-002	32211	32211	26.85	22.99
FR-MAU-2019-003	51475	51475	26.80	17.39
GEO-CHA-2017-003	57475	57475	10.60	4.17
GEO-CHA-2017-007	55194	55194	10.11	18.06
GEO-CHA-2017-009	53955	53955	10.08	17.81
GEO-CHA-2017-014	52371	52371	9.23	21.15
GEO-CHA-2018-011	52930	52930	10.32	1.54
GEO-CHA-2018-013	44061	44061	11.48	15.69
GEO-CHA-2018-016	52451	52451	10.76	17.11
GEO-CHA-2018-017	52218	52218	10.55	9.86
GEO-CHA-2018-020	50576	50576	10.88	12.50
GEO-CHA-2018-021	52920	52920	10.88	16.90
GEO-DGJ-2017-005	42928	42928	10.42	8.47
GEO-DGJ-2017-009	55943	55943	10.19	14.94
GEO-DGJ-2018-023	54720	54720	8.82	14.47
GEO-DGJ-2018-025	55351	55351	8.64	14.93
GEO-DGJ-2018-029	51948	51948	9.90	0.00
GEO-DGJ-2018-032	53815	53815	10.44	25.71
GEO-DGJ-2018-033	56249	56249	10.01	0.00
GEO-DGJ-2018-036	52275	52275	9.56	15.79
GEO-DGJ-2018-038	56066	56066	9.42	0.00
GEO-VAR-2018-001	47272	47272	11.94	7.46
GEO-VAR-2018-002	54752	54752	9.77	6.49
GEO-VAR-2018-008	49948	49948	12.01	19.35
GEO-VAR-2018-012	56025	56025	10.41	7.89
GEO-VAR-2018-013	54726	54726	11.40	0.00
GEO-VAR-2018-015	54277	54277	10.83	13.13
