sample                        	phased_count	ground_truth_count
2938_J-Garcia                 	       46540	       46540
AZ-ALT-2021-006               	       52476	       52476
AZ-ALT-2021-007               	       56307	       56307
AZ-ALT-2021-008               	       54409	       54409
AZ-ALT-2021-009               	       48168	       48168
AZ-ALT-2021-010               	       53346	       53346
AZ-ALT-2021-011               	       52112	       52112
AZ-ALT-2021-012               	       52408	       52408
AZ-ALT-2021-013               	       53281	       53281
AZ-QKH-2021-001               	       54892	       54892
AZ-QKH-2021-002               	       54529	       54529
AZ-QKH-2021-003               	       53312	       53312
AZ-QKH-2021-004               	       57067	       57067
AZ-QKH-2021-005               	       57427	       57427
AZ-QOB-2021-015               	       56126	       56126
AZ-QOB-2021-016               	       54556	       54556
BA-TRE-2019-001               	       53919	       53919
BA-TRE-2019-002               	       46412	       46412
BA-TRE-2019-007               	       53840	       53840
BA-TRE-2019-008               	       53784	       53784
BA-TRE-2019-009               	       54580	       54580
BA-TRE-2019-010               	       52092	       52092
BU-BAL-2021-001               	       47865	       47865
BU-BAL-2021-002               	       52667	       52667
BU-BAL-2021-003               	       45940	       45940
BU-BAL-2021-004               	       46797	       46797
BU-DEV-2019-022               	       57147	       57147
BU-DEV-2019-023               	       41563	       41563
BU-KAL-2019-001               	       45393	       45393
BU-KAL-2019-002               	       41387	       41387
BU-KAL-2019-003               	       50487	       50487
BU-KAL-2019-004               	       43852	       43852
BU-KAL-2019-005               	       50392	       50392
BU-KAL-2019-006               	       46697	       46697
BU-KAL-2019-007               	       49482	       49482
BU-KAL-2019-008               	       47023	       47023
BU-KAL-2019-009               	       45874	       45874
BU-KAL-2019-010               	       43144	       43144
BU-KAL-2019-011               	       42587	       42587
BU-KAL-2019-012               	       45590	       45590
BU-KAL-2019-013               	       41518	       41518
BU-KAL-2019-014               	       46627	       46627
BU-KAL-2019-015               	       41831	       41831
BU-KAL-2019-016               	       46207	       46207
BU-KAL-2019-017               	       46814	       46814
BU-KAL-2019-018               	       50854	       50854
BU-KAL-2019-019               	       45288	       45288
BU-KAL-2019-020               	       46464	       46464
BU-KAL-2019-021               	       33186	       33186
BU-KRO-2019-024               	       55267	       55267
BU-KRO-2019-025               	       55992	       55992
BU-KRO-2019-026               	       54810	       54810
BU-KRO-2019-027               	       47785	       47785
BU-MAD-2019-028               	       57074	       57074
BU-MAD-2019-029               	       50082	       50082
BU-MRA-2021-001               	       58095	       58095
CN-GAN-2009-001               	       35954	       35954
CN-GAN-2009-002               	       41155	       41155
CN-GAN-2009-003               	       29700	       29700
CN-XIN-2002-002               	       41164	       41164
CN-XIN-2002-003               	       32510	       32510
CN-XIN-2002-004               	       36129	       36129
CN-XS-2018-001                	       42342	       42342
CN-XS-2018-002                	       47096	       47096
CN-XS-2018-004                	       45919	       45919
CN-XS-2018-006                	       45142	       45142
CN-XS-2018-007                	       48425	       48425
CN-XS-2018-009                	       48312	       48312
CN-XS-2018-010                	       45768	       45768
CN-XS-2018-012                	       45687	       45687
CN-XS-2018-014                	       47835	       47835
CY-PAF-2017-003               	       25209	       25209
CY-PAF-2018-004               	       28970	       28970
CY-PRO-2016-001               	       26659	       26659
CY-PRO-2016-002               	       28483	       28483
E-BIO-2017-001                	       50702	       50702
E-GUI-2017-001                	       47977	       47977
E-GUI-2017-003                	       52491	       52491
E-GUI-2017-007                	       47509	       47509
E-GUI-2017-013                	       51299	       51299
E-GUI-2017-015                	       49122	       49122
E-GUI-2017-018                	       49043	       49043
E-Oenhishis_black             	       55388	       55388
E-Oenhishis_white             	       54936	       54936
FR-EYG-2019-001               	       49886	       49886
FR-MAU-2019-002               	       32211	       32211
FR-MAU-2019-003               	       51475	       51475
GEO-CHA-2017-003              	       57475	       57475
GEO-CHA-2017-007              	       55194	       55194
GEO-CHA-2017-009              	       53955	       53955
GEO-CHA-2017-014              	       52371	       52371
GEO-CHA-2018-011              	       52930	       52930
GEO-CHA-2018-013              	       44061	       44061
GEO-CHA-2018-016              	       52451	       52451
GEO-CHA-2018-017              	       52218	       52218
GEO-CHA-2018-020              	       50576	       50576
GEO-CHA-2018-021              	       52920	       52920
GEO-DGJ-2017-005              	       42928	       42928
GEO-DGJ-2017-009              	       55943	       55943
GEO-DGJ-2018-023              	       54720	       54720
GEO-DGJ-2018-025              	       55351	       55351
GEO-DGJ-2018-029              	       51948	       51948
GEO-DGJ-2018-032              	       53815	       53815
GEO-DGJ-2018-033              	       56249	       56249
GEO-DGJ-2018-036              	       52275	       52275
GEO-DGJ-2018-038              	       56066	       56066
GEO-VAR-2018-001              	       47272	       47272
GEO-VAR-2018-002              	       54752	       54752
GEO-VAR-2018-008              	       49948	       49948
GEO-VAR-2018-012              	       56025	       56025
GEO-VAR-2018-013              	       54726	       54726
GEO-VAR-2018-015              	       54277	       54277
GEO-VAR-2018-017              	       57378	       57378
GEO-VAR-2018-018              	       55458	       55458
GEO-VVI-2018-001              	       56269	       56269
GEO-VVI-2018-002              	       55596	       55596
GEO-VVI-2018-003              	       51038	       51038
GEO-VVI-2018-004              	       44395	       44395
GEO-VVI-2018-007              	       51469	       51469
GEO-VVI-2018-010              	       54851	       54851
GEO-VVI-2018-011              	       55032	       55032
GR-ATT-2019-007               	       54943	       54943
GR-ATT-2019-009               	       52418	       52418
GR-BAN-2022-022               	       56323	       56323
GR-BAN-2022-023               	       55918	       55918
GR-CRE-2017-001               	       53726	       53726
GR-CRE-2017-002               	       54752	       54752
GR-DAD-2018-001               	       59375	       59375
GR-DIS-2019-017               	       49807	       49807
GR-DIS-2019-020               	       57614	       57614
GR-EVV-2019-001               	       55183	       55183
GR-EVV-2019-005               	       58214	       58214
GR-GAL-2019-014-REF           	       63170	       63170
GR-GAL-2019-015               	       51757	       51757
GR-LES-2017-002               	       57525	       57525
GR-LES-2017-004               	       53694	       53694
GR-LES-2017-005               	       53774	       53774
GR-LES-2017-006               	       59731	       59731
GR-LES-2017-007               	       53754	       53754
GR-LES-2017-008               	       59553	       59553
GR-Oenhismel_white            	       57287	       57287
GR-SAT-2019-023               	       54031	       54031
IR-ARD-2018-001               	       57627	       57627
IR-ARD-2018-002               	       51439	       51439
IR-ARD-2018-003               	       54322	       54322
IR-ARD-2018-005               	       59436	       59436
IR-ARD-2018-006               	       57292	       57292
IR-ASH-2017-001               	       51651	       51651
IR-ASH-2017-002               	       51405	       51405
IR-ASH-2017-006               	       55032	       55032
IR-BAL-2017-001               	       50728	       50728
IR-BAL-2017-002               	       54198	       54198
IR-BAL-2017-003               	       46275	       46275
IR-BAL-2017-004               	       52261	       52261
IR-BAL-2017-005               	       55749	       55749
IR-BAL-2017-006               	       48777	       48777
IR-BAL-2017-008               	       52125	       52125
IR-BAL-2017-009               	       56377	       56377
IR-BAL-2017-010               	       57312	       57312
IR-BAL-2017-011               	       58098	       58098
IR-BAL-2017-013               	       57943	       57943
IR-BAL-2017-014               	       53868	       53868
IR-DAM-2017-001               	       54771	       54771
IR-DAM-2017-002               	       54835	       54835
IR-ESF-2017-001               	       48574	       48574
IR-ESF-2017-002               	       47517	       47517
IR-FIR-2018-001               	       54048	       54048
IR-FIR-2018-003               	       51299	       51299
IR-FIR-2018-004               	       54708	       54708
IR-FIR-2018-005               	       56663	       56663
IR-FIR-2018-006               	       54301	       54301
IR-FIR-2018-007               	       53923	       53923
IR-FIR-2018-009               	       55779	       55779
IR-FIR-2018-010               	       57025	       57025
IR-FIR-2018-011               	       53280	       53280
IR-FIR-2018-013               	       50906	       50906
IR-FIR-2018-014               	       53541	       53541
IR-FIR-2018-015               	       54181	       54181
IR-HAS-2018-002               	       57270	       57270
IR-HAS-2018-004               	       57007	       57007
IR-HAS-2018-005               	       59293	       59293
IR-HAS-2018-007               	       59647	       59647
IR-HAS-2018-009               	       54852	       54852
IR-KIL-2018-001               	       54138	       54138
IR-KIL-2018-003               	       57795	       57795
IR-KIL-2018-005               	       53276	       53276
IR-KIL-2018-006               	       56132	       56132
IR-KIL-2018-008               	       53344	       53344
IR-KIL-2018-009               	       50840	       50840
IR-KIL-2018-011               	       53945	       53945
IR-KIL-2018-012               	       52208	       52208
IR-KIL-2018-013               	       52845	       52845
IR-KIL-2018-015               	       57165	       57165
IR-KIL-2018-017               	       54091	       54091
IR-KIL-2018-018               	       56716	       56716
IR-KIL-2018-019               	       53260	       53260
IR-KIL-2018-021               	       55745	       55745
IR-QAZ-2018-001               	       55294	       55294
IR-QAZ-2018-002               	       59635	       59635
